symbol,0.1torr,1torr,1000torr
Ac,2100,2350,3510
Ag,1430,1600,2500
Al,1650,1845,2850
Am,1545,1760,2970
As,630,680,912
At,398,434,620
Au,1850,2060,3140 
B,2600,2660,4150
Ba,1070,1220,2130
Be,1630,1820,2810
Bi,1055,1180,1875
C,2940,3170,4150
Ca,966,1080,1820
Cd,592,664,1070
Ce,2220,2400,3770
Co,1990,2200,3260
Cr,1830,2010,3000
Cs,476,542,980
Cu,1690,1890,2900
Dy,1545,1730,2920
Er,1700,1920,3240
Eu,984,1110,1930
Fe,1920,2120,3220
Fr,462,528,980
Ga,1460,1630,2530
Gd,2060,2300,3650
Ge,1840,2050,3200
Hf,2980,3310,4970
Hg,353,400,642
Ho,1605,1805,3050
In,1345,1505,2400
Ir,2990,3290,4750
K,540,618,1070
La,2230,2490,3820
Li,906,1020,1650
Lu,2130,2370,3760
Mg,780,868,1410
Mn,1370,1520,2370
Mo,3030,3360,5000
Na,632,716,1180
Nb,3250,3570,5120
Nd,1800,2020,3440
Ni,1970,2180,3240
Np,2300,2580,4250
Os,3510,3850,5420
P,311,348,564
Pb,1105,1250,2100
Pd,1925,2150,3300
Pm,1600,1790,2800
Po,656,744,1250
Pr,2000,2270,3920
Pt,2590,2860,4170
Pu,1980,2230,3600
Ra,920,1060,1840
Rb,498,570,990
Re,3650,4040,6050
Rh,2520,2780,4070
Ru,2880,3160,4410
S,415,465,732
Sb,888,1030,1920
Sc,1830,2030,3190
Se,572,638,980
Si,2100,2330,3550
Sm,1120,1260,2120
Sn,1680,1885,2940
Sr,900,1010,1695
Ta,3630,4000,5780
Tb,2000,2240,3600
Tc,3080,3420,5250
Te,712,790,1295
Th,2960,3300,5200
Ti,2200,2440,3640
Tl,1000,1125,1765
Tm,1250,1405,2300
U,2600,2900,4500
V,2320,2560,3740
W,3830,4220,6010
Y,2100,2360,3700
Yb,824,922,1520
Zn,682,760,1210
Zr,2980,3300,4870
Pa,0,0,0
