remake_sample,original_sample,formula,original_mass_loss_pct,original_comp_ok,original_max_dev_pct,remake_reason
0534,0486,Al4FeCo3,3.94,False,15.4,Composition failed
0535,0487,Al8FeCo7,9.41,False,18.6,Composition failed + elevated mass loss
0536,0489,Gd3CoSn6,4.54,False,4.9,Composition failed
0537,0490,GdCo4Sn6,11.09,False,17.0,Composition failed + high mass loss
0538,0503,CoSiY,0.00,False,14.2,Composition failed
0539,0504,CoSi3Y,2.94,False,9.4,Composition failed
0540,0506,Al3Cu2Y,14.31,True,0.5,High mass loss
0541,0447,MoTiTa2,2.91,False,25.0,Composition failed (Ti flew away during arcing)
0542,0448,MoTi2Ta,5.79,False,25.1,Composition failed
0544,0486,Al4FeCo3,3.94,False,15.4,Composition failed
0545,0486,Al4FeCo3,3.94,False,15.4,Composition failed
0553,0495,GdFeGe3,2.26,False,12.1,Composition failed
0554,0496,Gd2Fe3Ge5,1.83,False,15.1,Composition failed
0555,0497,GdFeGe2,5.40,False,14.0,Composition failed
0556,0489,Gd3CoSn6,4.54,False,4.9,Composition failed
0557,0496,Gd2Fe3Ge5,1.83,False,15.1,Composition failed
0558,0472,ScCu4Pd,5.06,True,0.0,Mass loss slightly high (5%)
